"1.2.1.2 Proportion of population living below the national poverty line, by age group"

"Geolocation";"Age Group";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022";"2023";"2024";"2025"
"..Region IX";"Youth";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;33.9;..;..;31.4;..;..;28.9;..;29.7;..;...
"..Region IX";"Senior Citizen";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;26.5;..;..;22.4;..;..;20.7;..;20.6;..;...
"..Region X";"Children";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;50.5;..;..;31.6;..;..;35.6;..;35.0;..;...
"..Region X";"Youth";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;35.1;..;..;20.5;..;..;24.3;..;23.1;..;...
"..Region X";"Senior Citizen";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;25.5;..;..;12.4;..;..;15.1;..;13.1;..;...
"..Region XI";"Children";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;34.2;..;..;26.9;..;..;24.2;..;24.2;..;...
"..Region XI";"Youth";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;20.2;..;..;16.6;..;..;15.1;..;14.3;..;...
"..Region XI";"Senior Citizen";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;14.6;..;..;10.9;..;..;10.5;..;7.6;..;...
"..Region XII";"Children";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;48.7;..;..;35.0;..;..;36.9;..;32.1;..;...
"..Region XII";"Youth";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;33.2;..;..;25.0;..;..;25.5;..;21.3;..;...
"..Region XII";"Senior Citizen";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;24.7;..;..;15.9;..;..;15.2;..;11.6;..;...
"..Region XIII";"Children";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;50.4;..;..;39.8;..;..;44.1;..;29.2;..;...
"..Region XIII";"Youth";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;35.7;..;..;27.9;..;..;31.1;..;18.9;..;...
"..Region XIII";"Senior Citizen";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;30.3;..;..;18.8;..;..;19.5;..;10.1;..;...
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)";"Children";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;68.3;..;..;67.2;..;..;42.4;..;40.1;..;...
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)";"Youth";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;56.2;..;..;57.5;..;..;32.9;..;29.6;..;...
"..Bangsamoro Autonomous Region in Muslim Mindanao (BARMM)";"Senior Citizen";..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;41.0;..;..;43.2;..;..;23.8;..;18.3;..;...
